createdAt,side,liquidity,type,market,price,size,fee
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","143.3","0.713347"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","381","1.896618"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","358","1.782124"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","60","0.29868"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","472.9","2.354096"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","280","1.39384"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","263.2","1.310209"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","1068.3","5.317997"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","693.7","3.453238"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","177.7","0.883915"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","76.2","0.379034"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","539.5","2.68358"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","269.1","1.338557"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","750","3.73065"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","7.4","0.036809"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","1068.3","5.313937"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","693.7","3.450602"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","7.9","0.039296"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","152.8","0.760057"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","50","0.24871"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","382","1.900144"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.09","30.6","0.15221"
"2023-07-24T19:09:32.830Z","BUY","TAKER","MARKET","AVAX-USD","13.09","1889","9.396263"
